id,week,gym_uk,day,month,year,days_n
1,06-01-13,56,6,1,2013,
2,13-01-13,48,13,1,2013,
3,20-01-13,47,20,1,2013,
4,27-01-13,51,27,1,2013,
5,03-02-13,48,3,2,2013,
6,10-02-13,43,10,2,2013,
7,17-02-13,45,17,2,2013,
8,24-02-13,44,24,2,2013,
9,03-03-13,44,3,3,2013,
10,10-03-13,43,10,3,2013,
11,17-03-13,45,17,3,2013,
12,24-03-13,48,24,3,2013,
13,31-03-13,47,31,3,2013,
14,07-04-13,45,7,4,2013,
15,14-04-13,45,14,4,2013,
16,21-04-13,44,21,4,2013,
17,28-04-13,43,28,4,2013,
18,05-05-13,42,5,5,2013,
19,12-05-13,41,12,5,2013,
20,19-05-13,41,19,5,2013,
21,26-05-13,45,26,5,2013,
22,02-06-13,44,2,6,2013,
23,09-06-13,42,9,6,2013,
24,16-06-13,43,16,6,2013,
25,23-06-13,43,23,6,2013,
26,30-06-13,43,30,6,2013,
27,07-07-13,40,7,7,2013,
28,14-07-13,40,14,7,2013,
29,21-07-13,43,21,7,2013,
30,28-07-13,46,28,7,2013,
31,04-08-13,45,4,8,2013,
32,11-08-13,45,11,8,2013,
33,18-08-13,44,18,8,2013,
34,25-08-13,45,25,8,2013,
35,01-09-13,47,1,9,2013,
36,08-09-13,46,8,9,2013,
37,15-09-13,45,15,9,2013,
38,22-09-13,45,22,9,2013,
39,29-09-13,46,29,9,2013,
40,06-10-13,45,6,10,2013,
41,13-10-13,44,13,10,2013,
42,20-10-13,45,20,10,2013,
43,27-10-13,42,27,10,2013,
44,03-11-13,42,3,11,2013,
45,10-11-13,42,10,11,2013,
46,17-11-13,40,17,11,2013,
47,24-11-13,38,24,11,2013,
48,01-12-13,37,1,12,2013,
49,08-12-13,37,8,12,2013,
50,15-12-13,35,15,12,2013,
51,22-12-13,44,22,12,2013,
52,29-12-13,63,29,12,2013,
53,05-01-14,67,5,1,2014,
54,12-01-14,63,12,1,2014,
55,19-01-14,58,19,1,2014,
56,26-01-14,57,26,1,2014,
57,02-02-14,56,2,2,2014,
58,09-02-14,51,9,2,2014,
59,16-02-14,54,16,2,2014,
60,23-02-14,54,23,2,2014,
61,02-03-14,51,2,3,2014,
62,09-03-14,51,9,3,2014,
63,16-03-14,50,16,3,2014,
64,23-03-14,49,23,3,2014,
65,30-03-14,50,30,3,2014,
66,06-04-14,49,6,4,2014,
67,13-04-14,51,13,4,2014,
68,20-04-14,52,20,4,2014,
69,27-04-14,50,27,4,2014,
70,04-05-14,51,4,5,2014,
71,11-05-14,49,11,5,2014,
72,18-05-14,48,18,5,2014,
73,25-05-14,50,25,5,2014,
74,01-06-14,49,1,6,2014,
75,08-06-14,47,8,6,2014,
76,15-06-14,44,15,6,2014,
77,22-06-14,47,22,6,2014,
78,29-06-14,48,29,6,2014,
79,06-07-14,47,6,7,2014,
80,13-07-14,46,13,7,2014,
81,20-07-14,47,20,7,2014,
82,27-07-14,50,27,7,2014,
83,03-08-14,50,3,8,2014,
84,10-08-14,48,10,8,2014,
85,17-08-14,46,17,8,2014,
86,24-08-14,48,24,8,2014,
87,31-08-14,50,31,8,2014,
88,07-09-14,49,7,9,2014,
89,14-09-14,49,14,9,2014,
90,21-09-14,49,21,9,2014,
91,28-09-14,50,28,9,2014,
92,05-10-14,47,5,10,2014,
93,12-10-14,48,12,10,2014,
94,19-10-14,47,19,10,2014,
95,26-10-14,46,26,10,2014,
96,02-11-14,45,2,11,2014,
97,09-11-14,45,9,11,2014,
98,16-11-14,44,16,11,2014,
99,23-11-14,41,23,11,2014,
100,30-11-14,41,30,11,2014,
101,07-12-14,38,7,12,2014,
102,14-12-14,39,14,12,2014,
103,21-12-14,45,21,12,2014,
104,28-12-14,69,28,12,2014,
105,04-01-15,76,4,1,2015,
106,11-01-15,67,11,1,2015,
107,18-01-15,64,18,1,2015,
108,25-01-15,61,25,1,2015,
109,01-02-15,59,1,2,2015,
110,08-02-15,54,8,2,2015,
111,15-02-15,55,15,2,2015,
112,22-02-15,55,22,2,2015,
113,01-03-15,55,1,3,2015,
114,08-03-15,53,8,3,2015,
115,15-03-15,53,15,3,2015,
116,22-03-15,52,22,3,2015,
117,29-03-15,59,29,3,2015,
118,05-04-15,56,5,4,2015,
119,12-04-15,55,12,4,2015,
120,19-04-15,55,19,4,2015,
121,26-04-15,54,26,4,2015,
122,03-05-15,54,3,5,2015,
123,10-05-15,54,10,5,2015,
124,17-05-15,52,17,5,2015,
125,24-05-15,57,24,5,2015,
126,31-05-15,55,31,5,2015,
127,07-06-15,53,7,6,2015,
128,14-06-15,53,14,6,2015,
129,21-06-15,52,21,6,2015,
130,28-06-15,51,28,6,2015,
131,05-07-15,51,5,7,2015,
132,12-07-15,53,12,7,2015,
133,19-07-15,56,19,7,2015,
134,26-07-15,56,26,7,2015,
135,02-08-15,55,2,8,2015,
136,09-08-15,53,9,8,2015,
137,16-08-15,53,16,8,2015,
138,23-08-15,53,23,8,2015,
139,30-08-15,57,30,8,2015,
140,06-09-15,57,6,9,2015,
141,13-09-15,56,13,9,2015,
142,20-09-15,54,20,9,2015,
143,27-09-15,56,27,9,2015,
144,04-10-15,55,4,10,2015,
145,11-10-15,54,11,10,2015,
146,18-10-15,53,18,10,2015,
147,25-10-15,52,25,10,2015,
148,01-11-15,53,1,11,2015,
149,08-11-15,51,8,11,2015,
150,15-11-15,49,15,11,2015,
151,22-11-15,48,22,11,2015,
152,29-11-15,49,29,11,2015,
153,06-12-15,46,6,12,2015,
154,13-12-15,46,13,12,2015,
155,20-12-15,51,20,12,2015,
156,27-12-15,78,27,12,2015,
157,03-01-16,88,3,1,2016,
158,10-01-16,75,10,1,2016,
159,17-01-16,70,17,1,2016,
160,24-01-16,67,24,1,2016,
161,31-01-16,67,31,1,2016,
162,07-02-16,62,7,2,2016,
163,14-02-16,61,14,2,2016,
164,21-02-16,60,21,2,2016,
165,28-02-16,61,28,2,2016,
166,06-03-16,61,6,3,2016,
167,13-03-16,60,13,3,2016,
168,20-03-16,65,20,3,2016,
169,27-03-16,69,27,3,2016,
170,03-04-16,65,3,4,2016,
171,10-04-16,65,10,4,2016,
172,17-04-16,60,17,4,2016,
173,24-04-16,61,24,4,2016,
174,01-05-16,62,1,5,2016,
175,08-05-16,60,8,5,2016,
176,15-05-16,61,15,5,2016,
177,22-05-16,60,22,5,2016,
178,29-05-16,64,29,5,2016,
179,05-06-16,59,5,6,2016,
180,12-06-16,56,12,6,2016,
181,19-06-16,54,19,6,2016,
182,26-06-16,56,26,6,2016,
183,03-07-16,61,3,7,2016,
184,10-07-16,68,10,7,2016,
185,17-07-16,71,17,7,2016,
186,24-07-16,72,24,7,2016,
187,31-07-16,71,31,7,2016,
188,07-08-16,66,7,8,2016,
189,14-08-16,61,14,8,2016,
190,21-08-16,64,21,8,2016,
191,28-08-16,68,28,8,2016,
192,04-09-16,69,4,9,2016,
193,11-09-16,66,11,9,2016,
194,18-09-16,64,18,9,2016,
195,25-09-16,65,25,9,2016,
196,02-10-16,63,2,10,2016,
197,09-10-16,61,9,10,2016,
198,16-10-16,60,16,10,2016,
199,23-10-16,58,23,10,2016,
200,30-10-16,58,30,10,2016,
201,06-11-16,56,6,11,2016,
202,13-11-16,58,13,11,2016,
203,20-11-16,56,20,11,2016,
204,27-11-16,55,27,11,2016,
205,04-12-16,52,4,12,2016,
206,11-12-16,51,11,12,2016,
207,18-12-16,53,18,12,2016,
208,25-12-16,74,25,12,2016,
